ReceiptNo,Date,SupplierName,SupplierPIN,Description,Amount,VATAmount,WithholdingTax,ExpenseCategory,TaxDeductible,SectionOfDeduction
PUR-1000,2023-08-04,Kurwitu Ventures,P882583110V,Office Furniture,410026,65604.16,20501.3,Office Expenses,Y,Section 15(2)(a)
PUR-1001,2023-11-09,Sameer Africa,P389270659V,PP Granules (814kg),321784,51485.44,16089.2,Raw Materials,Y,Section 15(1)
PUR-1002,2023-11-19,Crown Paints Kenya,P991897546V,Team Lunch,66283,10605.28,0,Staff Welfare,N,Section 16(b)
PUR-1003,2023-09-19,Trans-Century,P164895559V,Flight to Pakistan,147035.1,78418.72,0,Travel,Y,Section 15(2)(b)
PUR-1004,2023-12-27,The Co-operative Bank of Kenya,P750845216V,Service,84973,13595.68,0,Motor Vehicle,Y,Section 15(2)
PUR-1005,2023-08-17,British American Tobacco Kenya,P449157669V,PE Granules (944kg),274109,43857.44,13705.45,Raw Materials,Y,Section 15(1)
PUR-1006,2023-09-02,Eaagads,P706029457V,PP Granules (819kg),185919,29747.04,9295.95,Raw Materials,Y,Section 15(1)
PUR-1007,2023-07-23,Homeboyz Entertainment,P147896214V,Flight to Western Sahara,44316.3,23635.36,0,Travel,Y,Section 15(2)(b)
PUR-1008,2023-11-18,Nairobi Securities Exchange,P773437233V,Office Furniture,14536,2325.76,726.8,Office Expenses,Y,Section 15(2)(a)
PUR-1009,2023-07-12,Williamson Tea Kenya,P616918950V,Fuel,293022,46883.52,0,Motor Vehicle,Y,Section 15(2)
PUR-1010,2023-11-12,NCBA Group,P442444622V,Conveyor Belt,259954,0,0,Capital Equipment,Y,Second Schedule
PUR-1011,2023-11-30,Longhorn Publishers,P164459700V,Office Furniture,384694,61551.04,19234.7,Office Expenses,Y,Section 15(2)(a)
PUR-1012,2023-07-26,Sameer Africa,P838491921V,Tires,126617,20258.72,0,Motor Vehicle,Y,Section 15(2)
PUR-1013,2023-10-07,Deacons (East Africa),P798835178V,Service,80782,12925.12,0,Motor Vehicle,Y,Section 15(2)
PUR-1014,2023-12-01,Kenya Airways,P892306386V,Printer Ink,380684,60909.44,19034.2,Office Expenses,Y,Section 15(2)(a)
PUR-1015,2023-10-07,Uchumi Supermarket,P264939359V,Team Lunch,306019,48963.04,0,Staff Welfare,N,Section 16(b)
PUR-1016,2023-08-09,Mumias Sugar,P930486984V,Tires,175614,28098.24,0,Motor Vehicle,Y,Section 15(2)
PUR-1017,2023-09-19,CIC Insurance Group,P197297219V,PVC Granules (137kg),122292,19566.72,6114.6,Raw Materials,Y,Section 15(1)
PUR-1018,2023-10-17,East African Breweries,P688840612V,PE Granules (907kg),125090,20014.4,6254.5,Raw Materials,Y,Section 15(1)
PUR-1019,2023-07-16,WPP Scangroup,P188018218V,Office Furniture,284755,45560.8,14237.75,Office Expenses,Y,Section 15(2)(a)
PUR-1020,2023-09-23,ABSA Kenya,P391424944V,Printer Ink,140066,22410.56,7003.3,Office Expenses,Y,Section 15(2)(a)
